ID,Tipo,Modulo,Prioridade,Tecnica,Cenario,Pre-condicao,Massa de Dados,Passos em Gherkin / Resumo,Resultado Esperado,Status
WEB-001,Web,Busca de Produto,P0,Funcional / Positivo,Buscar produto existente pela barra de busca,Site acessivel na home ou tela de busca,keyword: LAPTOP,Dado que acesso a home; Quando pesquiso por LAPTOP; Entao a lista deve exibir produtos relacionados a busca,Lista exibe somente produtos compativeis com LAPTOP; contador/listagem visivel,Nao executado
WEB-002,Web,Carrinho,P0,Funcional / Positivo,Adicionar produto pesquisado ao carrinho,Produto existente retornado na busca,keyword: LAPTOP; produto selecionado: primeiro item,Dado que tenho resultado de busca; Quando adiciono o primeiro produto ao carrinho; Entao devo ver confirmacao de inclusao,Produto adicionado com sucesso e contador do carrinho atualizado,Nao executado
WEB-003,Web,Pagamento / Checkout,P0,Funcional / Positivo,Validar produto incluido na tela de pagamento,Produto ja incluido no carrinho,"produto, preco, quantidade",Dado que possuo produto no carrinho; Quando avanço para checkout/pagamento; Entao o produto deve ser exibido na tela de pagamento,"Nome, preco, quantidade e total do item devem corresponder ao produto incluido",Nao executado
WEB-004,Web,Carrinho,P0,Integracao / Positivo,Validar persistencia do item no carrinho apos navegacao,Produto incluido no carrinho,produto selecionado,Dado que adicionei produto ao carrinho; Quando navego para outra tela e retorno ao carrinho; Entao o item deve permanecer disponivel,Carrinho mantem o item ate remocao ou finalizacao da compra,Nao executado
WEB-005,Web,Busca de Produto,P0,Funcional / Negativo,Buscar produto inexistente,Site acessivel,keyword: XYZINVALIDO123,Quando pesquiso por termo inexistente; Entao o sistema deve tratar ausencia de resultados,"Mensagem/listagem vazia adequada, sem erro tecnico e sem produtos incompativeis",Nao executado
WEB-006,Web,Pagamento / Checkout,P0,Funcional / Positivo,Validar total do carrinho na tela de pagamento,Produto incluido e checkout acessivel,preco unitario e quantidade,Quando avanço ao checkout; Entao o total exibido deve corresponder ao preco x quantidade,Subtotal/total consistentes com item selecionado,Nao executado
WEB-007,Web,Busca de Produto,P1,Particionamento de equivalencia,Buscar produto por termo parcial,Site acessivel,keyword parcial: LAP,Quando pesquiso por termo parcial valido; Entao resultados relacionados devem ser exibidos,Busca retorna produtos relacionados ao termo parcial,Nao executado
WEB-008,Web,Busca de Produto,P1,Analise de valores / Entrada,Buscar produto com letras minusculas e maiusculas,Site acessivel,keywords: laptop / LAPTOP,Quando pesquiso com variacao de caixa; Entao o resultado deve ser equivalente,Busca deve ser case-insensitive ou tratar variacao de forma consistente,Nao executado
WEB-009,Web,Busca de Produto,P1,Analise de valores / Entrada,Buscar produto com espacos antes e depois,Site acessivel,keyword com espacos excedentes,Quando pesquiso com espacos excedentes; Entao o sistema deve normalizar ou tratar entrada,Busca nao deve quebrar por espacos extras,Nao executado
WEB-010,Web,Busca de Produto,P1,Negativo / Robustez,Buscar produto com caracteres especiais,Site acessivel,keyword: caracteres especiais,Quando pesquiso caracteres especiais; Entao sistema deve tratar sem erro tecnico,"Sem erro 500, sem quebra de layout, resultado coerente",Nao executado
WEB-011,Web,Carrinho,P1,Funcional / Positivo,Adicionar produto a partir da pagina de detalhes,Produto com detalhes acessiveis,produto selecionado,Dado que acesso detalhes de um produto; Quando clico em adicionar ao carrinho; Entao produto deve ser incluido,Produto correto adicionado ao carrinho,Nao executado
WEB-012,Web,Carrinho,P1,Funcional / Positivo,Alterar quantidade do produto no carrinho,Produto incluido no carrinho,quantidade: 2,Quando altero quantidade do produto; Entao o total deve ser recalculado,"Quantidade, subtotal e total atualizados corretamente",Nao executado
WEB-013,Web,Carrinho,P1,Funcional / Negativo,Remover produto do carrinho,Produto incluido no carrinho,produto selecionado,Quando removo produto do carrinho; Entao carrinho deve ficar vazio ou atualizar lista,"Produto removido, total atualizado e contador alterado",Nao executado
WEB-014,Web,Carrinho,P1,Regressao,Adicionar dois produtos diferentes ao carrinho,Dois produtos disponiveis,produto A e produto B,Quando adiciono dois produtos diferentes; Entao ambos devem aparecer no carrinho,Itens nao devem sobrescrever um ao outro,Nao executado
WEB-015,Web,Checkout,P1,Fluxo / Negativo,Tentar avançar ao checkout sem login quando aplicavel,Produto incluido; usuario nao autenticado,sem login,Quando avanço para checkout sem autenticacao; Entao sistema deve solicitar login ou permitir fluxo conforme regra,"Comportamento aderente a regra do sistema, sem perda de carrinho",Nao executado
WEB-016,Web,Smoke,P1,Smoke Test,Validar carregamento das areas principais da loja,Site acessivel,"home, busca, carrinho","Quando acesso home, busca e carrinho; Entao elementos principais devem carregar",Sem erro visual ou indisponibilidade nas areas criticas,Nao executado
WEB-017,Web,Usabilidade,P2,Exploratorio,Validar mensagens de feedback ao adicionar produto,Produto disponivel,produto selecionado,Quando adiciono produto; Entao sistema deve exibir feedback claro,Mensagem de sucesso visivel e orientativa,Nao executado
WEB-018,Web,Exploratorio,P2,Exploratorio,Explorar comportamento da busca por categorias visuais,Categorias disponiveis,categoria: SPEAKERS/LAPTOPS/TABLETS,Quando navego por categorias e pesquiso; Entao resultados devem manter coerencia,Navegacao e filtros sem inconsistencias aparentes,Nao executado
API-001,API,Search API,P0,API / Positivo,Executar pesquisa via API com termo valido,Endpoint disponivel,query param name=LAPTOP,Dado o endpoint de search; Quando envio GET com name=LAPTOP; Entao status deve ser 200,Status code 200 e payload valido,Nao executado
API-002,API,Search API,P0,API / Contrato,Validar que lista retorna somente produtos conforme busca,API retorna lista de produtos,name=LAPTOP,Quando recebo a resposta da busca; Entao todos os nomes/campos relevantes devem conter ou estar relacionados ao termo,Nenhum produto incompativel deve ser retornado,Nao executado
API-003,API,Search API,P0,API / Contrato,Validar schema minimo da resposta,API retorna payload,name=LAPTOP,Entao a resposta deve conter lista de produtos e campos minimos de identificacao,Campos minimos presentes: id/nome/preco/categoria quando disponibilizados pelo contrato,Nao executado
API-004,API,Search API,P0,API / Status Code,Validar status code da busca,Endpoint disponivel,name=LAPTOP,Quando envio GET valido; Entao status code deve ser 200,HTTP 200 para busca valida,Nao executado
API-005,API,Search API,P1,API / Negativo,Pesquisar termo inexistente via API,Endpoint disponivel,name=XYZINVALIDO123,Quando envio GET com termo inexistente; Entao API deve retornar lista vazia ou mensagem controlada,Sem erro tecnico; resposta controlada conforme contrato,Nao executado
API-006,API,Search API,P1,API / Entrada,Pesquisar termo parcial via API,Endpoint disponivel,name=LAP,Quando envio GET com termo parcial; Entao resposta deve retornar produtos relacionados,Resultados relacionados ou comportamento documentado,Nao executado
API-007,API,Search API,P1,API / Entrada,Pesquisar termo com variacao de caixa via API,Endpoint disponivel,name=laptop e name=LAPTOP,Quando envio ambas requisicoes; Entao respostas devem ser equivalentes ou coerentes,Tratamento consistente de case sensitivity,Nao executado
API-008,API,Search API,P1,API / Negativo,Enviar requisicao sem parametro de busca,Endpoint disponivel,sem query param,Quando envio GET sem parametro; Entao API deve retornar erro controlado ou resposta documentada,Sem falha nao tratada; status e mensagem coerentes com contrato,Nao executado
API-009,API,Search API,P1,API / Robustez,Pesquisar com caracteres especiais via API,Endpoint disponivel,name=caracteres especiais,Quando envio GET com caracteres especiais; Entao API deve tratar entrada,Sem erro interno; resposta controlada,Nao executado
API-010,API,Search API,P1,API / Headers,Validar Content-Type da resposta,Endpoint disponivel,name=LAPTOP,Quando recebo resposta; Entao header deve indicar JSON quando aplicavel,Content-Type compativel com payload JSON,Nao executado
API-011,API,Search API,P2,API / Performance,Validar tempo de resposta aceitavel da busca,Endpoint disponivel,name=LAPTOP,Quando envio requisicao; Entao resposta deve ocorrer dentro do limite definido,"Tempo dentro de limite de referencia, ex.: ate 3000ms em ambiente estavel",Nao executado
API-012,API,Integracao Web/API,P2,Integracao,Comparar termo buscado na Web com busca via API,Web e API disponiveis,keyword=LAPTOP,Quando pesquiso o mesmo termo na Web e API; Entao ambos devem ter coerencia funcional,"Resultados coerentes entre canais, respeitando diferencas de apresentacao",Nao executado
